"","spec","Order"
"1","Apis mellifera","Hymenoptera"
"2","Lasioglossum fulvicorne","Hymenoptera"
"7","Lasioglossum fratellum","Hymenoptera"
"14","Andrena subopaca","Hymenoptera"
"16","Lasioglossum albipes","Hymenoptera"
"19","Bombus wurflenii","Hymenoptera"
"20","Lasioglossum laevigatum","Hymenoptera"
"23","Andrena chrysosceles","Hymenoptera"
"28","Bombus pratorum","Hymenoptera"
"31","Chelostoma florisomne","Hymenoptera"
"32","Bombus pascuorum","Hymenoptera"
"41","Bombus hortorum","Hymenoptera"
"48","Bombus lucorum_terrestris","Hymenoptera"
"67","Halictus tumulorum","Hymenoptera"
"78","Andrena wilkella","Hymenoptera"
"79","Bombus sylvestris","Hymenoptera"
"87","Lasioglossum calceatum","Hymenoptera"
"90","Bombus soroeensis","Hymenoptera"
"93","Bombus campestris","Hymenoptera"
"158","Lasioglossum cupromicans","Hymenoptera"
"162","Lasioglossum alpigenum","Hymenoptera"
"165","Bombus monticola","Hymenoptera"
"168","Andrena lapponica","Hymenoptera"
"179","Lasioglossum morio","Hymenoptera"
"185","Lasioglossum leucopus","Hymenoptera"
"192","Megachile circumcincta","Hymenoptera"
"193","Andrena falsifica","Hymenoptera"
"197","Osmia bicolor","Hymenoptera"
"206","Andrena carantonica","Hymenoptera"
"207","Andrena ovatula","Hymenoptera"
"208","Andrena intermedia","Hymenoptera"
"210","Anthophora furcata","Hymenoptera"
"215","Andrena fucata","Hymenoptera"
"247","Andrena ruficrus","Hymenoptera"
"260","Hylaeus alpinus","Hymenoptera"
"262","Bombus lapidarius","Hymenoptera"
"264","Halictus confusus","Hymenoptera"
"265","Ceratina cyanea","Hymenoptera"
"266","Hylaeus confusus","Hymenoptera"
"269","Hylaeus annulatus","Hymenoptera"
"281","Halictus rubicundus","Hymenoptera"
"300","Sphecodes monilicornis","Hymenoptera"
"303","Nomada integra","Hymenoptera"
"304","Nomada flavoguttata","Hymenoptera"
"344","Sphecodes ferruginatus","Hymenoptera"
"349","Bombus mucidus","Hymenoptera"
"358","Panurginus montanus","Hymenoptera"
"369","Sphecodes hyalinatus","Hymenoptera"
"379","Lasioglossum pauxillum","Hymenoptera"
"437","Megachile willughbiella","Hymenoptera"
"452","Megachile alpicola","Hymenoptera"
"480","Chelostoma campanularum","Hymenoptera"
"484","Melitta haemorrhoidalis","Hymenoptera"
"490","Andrena minutula","Hymenoptera"
"612","Panurginus herzi","Hymenoptera"
"641","Bombus mendax","Hymenoptera"
"642","Nomada alboguttata","Hymenoptera"
"653","Osmia villosa","Hymenoptera"
"750","Sphecodes gibbus","Hymenoptera"
"821","Heriades truncorum","Hymenoptera"
"871","Anthidiellum strigatum","Hymenoptera"
"881","Bombus jonellus","Hymenoptera"
"923","Megachile nigriventris","Hymenoptera"
"924","Trachusa byssina","Hymenoptera"
"928","Coelioxys inermis","Hymenoptera"
"929","Hylaeus sinuatus","Hymenoptera"
